,id,subject,text,classificacao,date,retweets,favorites,permalink
2150,1.0895808722092319e+18,venezuelano terrorista cubano brumadinho,"Vejam o que os minions andam espalhando pelo WhatsApp - detalhe: abstraiam os erros de português (os caras são burros, além de doidos). Segundo esse delírio, o rompimento da barragem de Brumadinho pode ter sido um ato terrorista - um cubano e um venezuelano estariam envolvidos:",true,2019-01-27 14:48,0,1,https://twitter.com/lpscomunica/status/1089580872209231872
2151,1.0895774832409843e+18,venezuelano terrorista cubano brumadinho,"Minha prima, que adora uma fake news, me mostrou um textão no facebook falando que a tragédia em Brumadinho foi, na verdade, um atentado terrorista causado por um cubano e um venezuelano . Mentira.",true,2019-01-27 14:34,0,0,https://twitter.com/tata_mgomes/status/1089577483240984577
1002,1.112860378936107e+18,stf lula salvo conduto,@CarlosBolsonaro É URGENTE que antecipemos a ida às ruas antes do dia 7 de abril ! O STF resolveu dar salvo conduto a Lula no dia 04 de abril.E estará SOLTO Vamos dia 3 de abril !!!!!,fake,2019-04-01 20:32,0,0,https://twitter.com/Jane_GRodrigues/status/1112860378936107008
1006,1.1123921954604768e+18,stf lula salvo conduto,"https://www. boatos.org/politica/stf-s alvo-conduto-lula-solto.html … NOTÍCIA DE SALVO CONDUTO DE LULA É FAKE. AJUDEM A DESMENTIR. ESTÃO USANDO O BOATO PRA INCITAR ÓDIO AO STF QUE VAI JUGAR HABEAS CORPUS DE LULA DIA 04 DE MARÇO, QUINTA-FEIRA pic.twitter.com/X0fCRRiJzk",true,2019-03-31 13:32,1,1,https://twitter.com/mlcescato/status/1112392195460476929
1013,1.1120034328172831e+18,stf lula salvo conduto,"Que absurdo!!! A ministra Cármen Lúcia, do Supremo Tribunal Federal ( STF ), enviou ao advogado José Roberto Batochio o salvo-conduto do ex-presidente Lula . O documento autoriza o petista a viajar e transitar livremente. https:// politica.estadao.com.br/blogs/fausto-m acedo/salvo-conduto-de-luiz-inacio-lula-da-silva/ …",fake,2019-03-30 11:47,3,6,https://twitter.com/bbthcruz/status/1112003432817283074
1014,1.1119776281001859e+18,stf lula salvo conduto,Lula recebe o salvo conduto do STF . #STFVergonhaNacional Lugar de condenado é na cadeia. Repassem! pic.twitter.com/leozjWC8sw,fake,2019-03-30 10:05,2,2,https://twitter.com/lapoderosa1360/status/1111977628100186112
1018,1.1117107257629368e+18,stf lula salvo conduto,"@STF _oficial , Salvo Conduto para Lula ? Seus ditadores esquerdiotas, vocês são a vergonha do Brasil e vão cair #STFVegonhaNacional",fake,2019-03-29 16:24,0,1,https://twitter.com/RenataLunardi1/status/1111710725762936833
1019,1.111665922278912e+18,stf lula salvo conduto,"@jairbolsonaro ATENÇÃO ALERTA A TODOS o STF .JA DEU O SALVO CONDUTO PARA O LULA ,.O STF .VAI SOLTAR O LULA E MAIS 170 BANDIDOS DE ALTA PERICULOSIDADE",fake,2019-03-29 13:26,0,0,https://twitter.com/SandraMariaVil7/status/1111665922278912002
1020,1.111664554386305e+18,stf lula salvo conduto,"STF DA SALVO CONDUTO A LULA QUE DEVERÁ SER SOLTO PRÓXIMAS HORAS. @CarlosBolsonaro @jairbolsonaro @joicehasselmann e aí? Se já está difícil com ele só complicando da prisão, imaginem ele solto!!! Vão aceitar calados?",fake,2019-03-29 13:20,0,0,https://twitter.com/luizfmedeiros/status/1111664554386305025
1028,1.1112676372947804e+18,stf lula salvo conduto,Bom dia. Parece que terá salvo conduto para Lula deixar a prisão política que se encontra. Via STF . https://www. instagram.com/p/Bvjf35Ng_L7/ ?utm_source=ig_twitter_share&igshid=1jk9cpjfuih4 …,fake,2019-03-28 11:03,0,1,https://twitter.com/acsa100/status/1111267637294780416
1030,1.1058356987357592e+18,stf lula salvo conduto,"Hoje 11 homens que não receberam um só voto do povo, vão decidir se enterram o país... Lula , Cunha, Cabral, Vacari Neto e Zé Dirceu, podem receber hoje, das mãos do STF , alvarás/ salvo conduto de impunidade e detonar o governo Bolsonaro. #STFnaoMateALavaJato",fake,2019-03-13 11:19,0,2,https://twitter.com/CoelhoLoreto/status/1105835698735759360
1317,1.1247726263485604e+18,mst brumadinho,"*Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem !* Eles vêm de longe para ocupar as terras, temos que denunciar urgente. pic.twitter.com/gHKcQ81xb6",fake,2019-05-04 17:27,0,0,https://twitter.com/Plankl2/status/1124772626348560384
1318,1.1246621677924925e+18,mst brumadinho,"Existe uma forte relação entre o MST , o MAB (Movimento dos Atingidos por Barragem) e a Igreja Católica. A presença do MST em Brumadinho é apenas para reforçar o apoio às famílias atingidas pelas barragens.",true,2019-05-04 10:08,0,0,https://twitter.com/andreteixeirabq/status/1124662167792492545
1323,1.1244170827524915e+18,mst brumadinho,"Graças a Deus as coisas estão entrando nos trilhos!! O medo de se deparar com um agricultor armado é maior que a desejo de saquear. Parabéns presidente. Agora o MST está perseguindo as famílias das vítimas em Brumadinho , parasitas.",fake,2019-05-03 17:54,0,0,https://twitter.com/ThomasS14910052/status/1124417082752491521
1324,1.1243934635107328e+18,mst brumadinho,A FALTA DE CARÁTER NÃO TEM LIMITES ** MST invade BRUMADINHO para..... Oque é de direito das vítimas da tragédia da barragem Eles vem de longe para reivindicar as terras como se… https://www. instagram.com/p/BxAwHBzB4cU/ ?utm_source=ig_twitter_share&igshid=qc4jav5u8jvn …,fake,2019-05-03 16:21,0,0,https://twitter.com/SimoneWitte2/status/1124393463510732800
1327,1.1243089615141395e+18,mst brumadinho,Vagabundos do MST vem de tudo qusnto é lugar pra pegar as terras em Brumadinho da pra acreditar. https://www. facebook.com/1496544215/pos ts/10219602099151838/ …,fake,2019-05-03 10:45,0,0,https://twitter.com/EduBM1979/status/1124308961514139649
1328,1.1243055171558441e+18,mst brumadinho,MST tá lá em Brumadinho querendo lucrar.,fake,2019-05-03 10:31,0,0,https://twitter.com/InsHelena3/status/1124305517155844097
1329,1.1242968463215616e+18,mst brumadinho,A invasão de Brumadinho pelo MST é em busca de alguma boquinha...(indenização). pic.twitter.com/HKKAqHrNMc,fake,2019-05-03 9:57,0,1,https://twitter.com/AntnioPGomes1/status/1124296846321561607
1332,1.1242748949576335e+18,mst brumadinho,"Deputado repercute notícia falsa sobre o  MST ter invadido Brumadinho para tomar terras de atingidos pela barragem"", o que já foi desmentido: https:// twitter.com/Boatosorg/stat us/1123979369637134336?s=19 … https:// twitter.com/depheliolopes/ status/1124269458309242880 …""",true,2019-05-03 8:29,1,10,https://twitter.com/parlamentistas/status/1124274894957633536
1334,1.1242694583092429e+18,mst brumadinho,A FALTA DE CARÁTER NÃO TEM LIMITES! ** MST invadem Brumadinho para ........??? O que é de direito das vítimas da tragédia da barragem! Eles vêm de longe para reivindicar as terras com se fossem vítimas do rompimento da barragem. #BolsonaroÉPresidente #DeputadoHelioLopes pic.twitter.com/GwvsPE7NW2,fake,2019-05-03 8:08,214,624,https://twitter.com/depheliolopes/status/1124269458309242880
1335,1.1242649416309635e+18,mst brumadinho,Oportunistas do MST em Brumadinho . São questionados pelos reais moradores. pic.twitter.com/rNpR42ECdm,fake,2019-05-03 7:50,1,2,https://twitter.com/redneckbrazil/status/1124264941630963712
1339,1.124079897784279e+18,mst brumadinho,Os vagabundos do MST agora resolveram envadi brumadinho,fake,2019-05-02 19:35,0,1,https://twitter.com/Edimils11566299/status/1124079897784279046
1341,1.1240573192628184e+18,mst brumadinho,Um dos sites anti-hoax desmentiu o boato de que o MST teria roubado vítimas do crime ambiental em Brumadinho . É muito mais fácil o MST ter AJUDADO as vítimas com doações de produtos agrícolas do que ter roubado. Quem roubou foi a Vale privatizada.,true,2019-05-02 18:05,0,0,https://twitter.com/KKKYBWVT3QrWfdl/status/1124057319262818305
1347,1.1240247121773117e+18,mst brumadinho,"*Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem !* Eles vêm de longe para ocupar as terras, temos que denunciar urgente. pic.twitter.com/uppqeqr3K5",fake,2019-05-02 15:55,0,0,https://twitter.com/JFDalvi1/status/1124024712177311750
1348,1.1239845971533946e+18,mst brumadinho,Um dos sites anti-hoax desmentiu o boato de que o MST teria roubado vítimas do crime ambiental em Brumadinho . É muito mais fácil o MST ter AJUDADO as vítimas com doações de produtos agrícolas do que ter roubado. Quem roubou foi a Vale privatizada.,true,2019-05-02 13:16,0,3,https://twitter.com/rog_marcus/status/1123984597153394689
1354,1.1236822873867551e+18,mst brumadinho,AVISEM O PRESIDENTE SOBRE A INVASAO DO MST EM BRUMADINHO ....MANDEM AS FFAA PARA LA E TIREM OS VAGABUNDOS A BALA https:// twitter.com/BolsonaroSP/st atus/1123353186528636928 …,fake,2019-05-01 17:15,0,0,https://twitter.com/eugenioazambujo/status/1123682287386755072
1359,1.123565968180109e+18,mst brumadinho,"Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem. Eles vêm de longe para ocupar as terras, temos que denunciar urgente. @jairbolsonaro @xicograziano @manuelkobel @alexandregarcia @augustosnunes @BlogDoPim pic.twitter.com/ZZzh88OpSi",fake,2019-05-01 9:32,10,26,https://twitter.com/lairbiagini/status/1123565968180109312
1367,1.1233427995318477e+18,mst brumadinho,"Mas faltou proteger Brumadinho , terra devastada e imóveis sem donos... Pois la vieram e se instalou o MST",fake,2019-04-30 18:46,0,9,https://twitter.com/zehcampestrini/status/1123342799531847680
1368,1.1233418682622195e+18,mst brumadinho,"Agora abutres, vivendo de carniça. Desculpem, não q Brumadinho seja uma carniça, mas q o MST se tornou carniceiros como se ja não bastasse serem terroristas.",fake,2019-04-30 18:42,0,0,https://twitter.com/zeleo46/status/1123341868262219777
1370,1.1233321059063357e+18,mst brumadinho,"@jairbolsonaro Olha a PALHAÇADA, MST é PT, Estão tumultuado Brumadinho . Querem receber terras que serão distribuídos par as famílias das VITIMAS..POVO SEM RESPEITO. PRENDE TODO MUNDO É LEVA PRA PRISÃO RURAL, é verão que nunca pegaram numa enxada pic.twitter.com/sg7vr3pWAX",fake,2019-04-30 18:03,0,0,https://twitter.com/FlviaCunha20/status/1123332105906335745
1371,1.1233227511110616e+18,mst brumadinho,E o MST que já está em Brumadinho pra fazer inferno e querer roubar oq e de direito dos moradores eu disse dos MORADORES. @pmmg190 @MPMG_Oficial @jairbolsonaro @policiafederal,fake,2019-04-30 17:26,0,0,https://twitter.com/Tontis07/status/1123322751111061510
1373,1.1232998711743488e+18,mst brumadinho,"Parabéns, Presidente! Propriedade privada é sagrada! Esse MST só quer tumultuar o pais desde a década de 80! Olha o que fizeram agora em Brumadinho , uma cidade arrasada pela tragédia! Invadiram a cidade para quê?",fake,2019-04-30 15:55,0,0,https://twitter.com/celia_carvalh/status/1123299871174348800
1376,1.1232603384750285e+18,mst brumadinho,REVOLTANTE! MST invade BRUMADINHO ! https:// youtu.be/XmsJt8i_VH0,fake,2019-04-30 13:18,0,2,https://twitter.com/IzabelliOlivei1/status/1123260338475028480
1378,1.1232567864657756e+18,mst brumadinho,"Militontos do MST a base de cachaça e mortadela invadem Brumadinho , não para ajudar e sim para usurpar terras e benefícios que possam ser gerados devido a tragédia! pic.twitter.com/laLcExA5wU",fake,2019-04-30 13:04,8,10,https://twitter.com/SaidaaDireita/status/1123256786465775618
1399,1.123011867109204e+18,mst brumadinho,"Os vagabundos dos MST estão lá em Brumadinho , tentando roubar a ajuda que eles recebem. Gentalha.",fake,2019-04-29 20:51,0,4,https://twitter.com/lovemypetsbr1/status/1123011867109203968
1401,1.1230037330325464e+18,mst brumadinho,"Veja a que ponto se chega o PT e seu braço armado o MST , estão invadindo a já devastada Brumadinho . Olha isso gente! https:// twitter.com/AlineRoPina/st atus/1122315027615297536 …",fake,2019-04-29 20:18,0,0,https://twitter.com/CarlosThunder5/status/1123003733032546304
1405,1.1229764065127832e+18,mst brumadinho,"MST c/escritório nos EUA? Mas eles ñ são pobres, abandonados à própria sorte, ñ têm como sobreviver sem uma reforma agrária""? Até invadiram Brumadinho pq se acham no direito de também receber indenizações. Terroristas, eis o que são. #CoafComMoro""",fake,2019-04-29 18:30,1,3,https://twitter.com/TRMatheus/status/1122976406512783362
1420,1.1228872182579569e+18,mst brumadinho,"O governo precisa tomar providência, manifestantes do MST estão confrontando e acuando os moradores de Brumadinho . Invadiram a cidade. @jairbolsonaro @SF_Moro @DefesaGovBr @policiafederal https:// twitter.com/Bolsoneas/stat us/1122522906133770241 …",fake,2019-04-29 12:35,1,1,https://twitter.com/realmerrilu/status/1122887218257956864
1427,1.1228502267741389e+18,mst brumadinho,U R G E N T Í S S M O MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem. Eles vêm de longe para ocupar as terras. PRECISAMOS DENUNCIAR E DIVULGAR O MAIS RÁPIDO POSSÍVEL. pic.twitter.com/WlAeKYg9tx,fake,2019-04-29 10:08,1,2,https://twitter.com/cdanysm/status/1122850226774138883
1428,1.1228397439207793e+18,mst brumadinho,"PRESIDÊNTE JAIR MESSIAS BOLSONARO E MORÃO VICE VEJAM OQUE ESTA ACONTECENDO EM BRUMADINHO OS MST ESTA INVADINDO LA ,PELO AMOR DE DEUS PÕEM TODOS NA CADEIA. pic.twitter.com/BQxn9sy4I9",fake,2019-04-29 9:27,1,0,https://twitter.com/Tete73583563/status/1122839743920779264
1436,1.1228030348479448e+18,mst brumadinho,"Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem Eles vêm de longe para ocupar as terras, temos que denunciar urgente. @gleisi @mariadorosario @Haddad_Fernando @LulaOficial olhem a merda que vcs fazem! @jairbolsonaro pic.twitter.com/wmcoGNeClq",fake,2019-04-29 7:01,0,0,https://twitter.com/robsonraivoso/status/1122803034847944704
1441,1.1226856363250157e+18,mst brumadinho,"Nao basta o povo de Brumadinho ter sofrido com a catástrofe, agora sofrem a ameaça de invasão do MST e dos aproveitadores do PT pic.twitter.com/4CYTzfSDvP",fake,2019-04-28 23:14,1,3,https://twitter.com/ricardomandre/status/1122685636325015552
1446,1.1226524754740429e+18,mst brumadinho,Não esqueça do MST que já está em brumadinho jurando de pé junto que vive lá a milhões de anos.,fake,2019-04-28 21:03,0,3,https://twitter.com/crisecv1/status/1122652475474042881
1449,1.1226394817634509e+18,mst brumadinho,"O que você acha que o MST está fazendo em Brumadinho ? Ajudar em alguma coisa? Dar assistência médica e psicológica? Claro que não. Estão lá para roubar, dar golpe, mas não vão conseguir, já estão devidamente mapeados e se tentarem estabelecer uma comuna, chumbo vai comer",fake,2019-04-28 20:11,3,3,https://twitter.com/kane_sp/status/1122639481763450881
1460,1.1225924078229832e+18,mst brumadinho,MST Só foi a brumadinho Porque A vele do rio dose despejou muita terra mais pra ajudar os inocente coberto por lama só israel #mst #interesseiro https:// twitter.com/tininhasouza19 1/status/1122588432688209920 …,fake,2019-04-28 17:04,0,0,https://twitter.com/SouzaRodiney/status/1122592407822983169
1477,1.1225314412192113e+18,mst brumadinho,"Os vermes de Cuba, MST e petistas invadem Brumadinho para SAQUEAREM o quê é de direito das vítimas da tragédia da barragem! Eles vêm de longe para invadir as terras, temos que denunciar… https://www. instagram.com/p/BwzhtrcBeZ6/ ?utm_source=ig_twitter_share&igshid=1h1r4lv5nue3u …",fake,2019-04-28 13:02,0,0,https://twitter.com/OsvaldoAiresBad/status/1122531441219211264
1485,1.1224925768236892e+18,mst brumadinho,"Manda a Força Nacional pra Brumadinho , que foi invadida pelo MST pra tumultuar a cidade e prejudicar o povo já sofrido da região!",fake,2019-04-28 10:27,2,11,https://twitter.com/MmipexRenata/status/1122492576823689216
1493,1.1224849458747635e+18,mst brumadinho,Até quando vamos ser obrigados ver esses terroristas desfilando pelo nosso país. Não respeitam nada. MST invadindo Brumadinho . #BrasilÉBolsonaro #MoroTePrendeuBabaca pic.twitter.com/Vg6hn9WZXX,fake,2019-04-28 9:57,6,18,https://twitter.com/edusilvaFranco/status/1122484945874763778
1497,1.1224682958049523e+18,mst brumadinho,"Fazendo aula de jornal? A esquerda está tonta, não sabem mais o que fazer: Os vermes MST e petistas invadem Brumadinho para ROUBAR o quê é de direito das vítimas da tragédia da barragem ! Eles vêm de longe para ocupar as terras, temos que denunciar urgente.",fake,2019-04-28 8:51,1,19,https://twitter.com/Marques27/status/1122468295804952577
1531,1.1222501732357242e+18,mst brumadinho,"Os vermes do MST e petistas invadem Brumadinho MG, para ROUBAR o quê é de direito das vítimas da tragédia do rompimento da barragem! Eles saem de longe para ocupar as terras, das pessoas que ainda nem se recuperaram! Temos que denunciar urgente! Canalhas pic.twitter.com/7yHAmgLFO8",fake,2019-04-27 18:24,265,497,https://twitter.com/goulart_lenita/status/1122250173235724289
1575,1.1210245822013481e+18,mst brumadinho,MST realiza ato político em apoio as famílias de Brumadinho O Movimento dos Trabalhadores Rurais Sem Terra promove ato político cultural em solidariedade às famílias da tragédia crime da Vale em Br... http:// planetamg.com.br/mst-realiza-at o-politico-em-apoio-as-familias-de-brumadinho/ … pic.twitter.com/cFHSkAxOKh,true,2019-04-24 9:14,0,0,https://twitter.com/planetamgbr/status/1121024582201348096
1578,1.114222971365802e+18,mst brumadinho,MST convoca ato nesta sexta-feira (5) contra os crimes da Vale em Brumadinho - Diário Causa Operária https://www. causaoperaria.org.br/mst-convoca-at o-nesta-sexta-feira-6-contra-os-crimes-da-vale-em-brumadinho/#.XKeUj15-TIg.twitter …,true,2019-04-05 14:47,2,2,https://twitter.com/linneydias/status/1114222971365801984
1582,1.1141581035352146e+18,mst brumadinho,"MST CONVOCA ATO POLÍTICO EM APOIO AOS SEM TERRA ATINGIDOS PELA MINERAÇÃO Em Minas Gerais, famílias sem terra lutam contra os efeitos do crime da Vale em Brumadinho em ato nesta sexta-feira (05) Foto: MST Nesta ... http:// planetamg.com.br/mst-convoca-at o-politico-em-apoio-aos-sem-terra-atingidos-pela-mineracao/ … pic.twitter.com/jl7997yHKw",true,2019-04-05 10:29,1,1,https://twitter.com/planetamgbr/status/1114158103535214592
1595,1.1066860045414441e+18,mst brumadinho,"Pela Vida das mulheres, somos todas Marielle."" Ontem 400 mulheres do @MST _Oficial e do Movimento Pela Soberania Popular na Mineração (MAM) bloquearam a passagem de um trem da Vale perto de #Brumadinho . https://www. sul21.com.br/movimentos/201 9/03/mulheres-do-mst-e-do-mam-trancam-passagem-do-trem-da-vale-em-minas-gerais/#.XIpI72LFkl4.twitter … #QuemMandouMatarMarielle pic.twitter.com/AcmSWVXgaH""",true,2019-03-15 19:37,13,13,https://twitter.com/PersonalEscrito/status/1106686004541444096
1597,1.106542039955632e+18,mst brumadinho,"Por mortos de Brumadinho e Marielle, mulheres do MST bloqueiam trem em Sarzedo https://www. hojeemdia.com.br/horizontes/por -mortos-de-brumadinho-e-marielle-mulheres-do-mst-bloqueiam-trem-em-sarzedo-1.700858 …",true,2019-03-15 10:05,0,0,https://twitter.com/robertofarmacia/status/1106542039955632129
1606,1.1062763950287626e+18,mst brumadinho,Protestavam contra a impunidade da Vale no caso Brumadinho e em nome da Marielle (hj faz 1 ano q ela foi assassinada e as investigações ainda não acabaram).,true,2019-03-14 16:30,0,0,https://twitter.com/ExitGarden/status/1106276395028762625
1618,1.1062124441359235e+18,mst brumadinho,"400 mulheres sem terra denunciam o assassinato em massa com o rompimento da barragem de Brumadinho , neste dia que se completa 1 ano da morte de Marielle Franco. As mulheres do MST pararam o trem da Vale que transporta o minério de ferro extraído da região: https://www. sul21.com.br/areazero/2019/ 03/pm-reprime-com-bombas-e-balas-de-borracha-mulheres-que-bloquearam-trem-da-vale/ …",true,2019-03-14 12:16,38,77,https://twitter.com/depmarcon/status/1106212444135923717
1619,1.1061907170666618e+18,mst brumadinho,"#FlorescerPorMarielle | Confira mais fotos da ação realizada pelas mulheres do MST e do MAM na ação de hoje em Minas Gerais, quando elas ocuparam os trilhos da Vale para denunciar o crime da empresa em Brumadinho e também o assassinato de Marielle Franco quanto #ValeAssassina pic.twitter.com/Fetv3Q46Vh",true,2019-03-14 10:49,8,8,https://twitter.com/frentebrasilpop/status/1106190717066661888
1626,1.1061577668199219e+18,mst brumadinho,"Ação do MST e do MAB bloqueou trem de minérios em Sarzedo, cidade vizinha à Brumadinho (MG), criticou modelo predatório de mineração e pediu justiça para Marielle. A Polícia Militar agiu com violência e feriu 10 pessoas. https://www. brasildefato.com.br/2019/03/14/mov imentos-ocupam-ferrovia-da-vale-por-justica-a-brumadinho-e-marielle-pm-reprime/ …",true,2019-03-14 8:38,22,35,https://twitter.com/Brasil_de_Fato/status/1106157766819921920
1647,1.0975267992553759e+18,mst brumadinho,"Em Minas Gerais, acampamentos do MST são afetados pelo rompimento da barragem de Brumadinho https:// soundcloud.com/redebrasilatua l/em-minas-gerais-acampamentos-do-mst-sao-afetados-pelo-rompimento-da-barragem-de-brumadinho-1?utm_source=soundcloud&utm_campaign=share&utm_medium=facebook …",true,2019-02-18 13:02,0,0,https://twitter.com/bortinho/status/1097526799255375878
1945,1.1247527580101507e+18,gleisi senna,É falsa mensagem atribuída a Gleisi Hoffmann desmerecendo Ayrton Senna | Revista Fórum https://www. revistaforum.com.br/e-falsa-mensag em-atribuida-a-gleisi-hoffmann-desmerecendo-ayrton-senna/ …,true,2019-05-04 16:08,0,0,https://twitter.com/Jorginaguimarae/status/1124752758010150912
1948,1.124747873529344e+18,gleisi senna,É falsa mensagem atribuída a Gleisi Hoffmann desmerecendo Ayrton Senna https://www. revistaforum.com.br/e-falsa-mensag em-atribuida-a-gleisi-hoffmann-desmerecendo-ayrton-senna/ … via @revistaforum,true,2019-05-04 15:49,0,0,https://twitter.com/redecastorphoto/status/1124747873529344001
1949,1.124741087623512e+18,gleisi senna,É #FAKE que Gleisi Hoffmann disse que não vê motivos para homenagens a Senna https:// g1.globo.com/fato-ou-fake/n oticia/2019/05/03/e-fake-que-gleisi-hoffmann-disse-que-nao-ve-motivos-para-homenagens-a-senna.ghtml … #fake,true,2019-05-04 15:22,0,0,https://twitter.com/allancmello/status/1124741087623512070
1959,1.1246931627134075e+18,gleisi senna,Gleisi Hoffmann é alvo de fake news em relação às homenagens ao piloto Ayrton Senna https:// blogdacidadania.com.br/2019/05/gleisi -hoffmann-e-alvo-de-fake-news-em-relacao-as-homenagens-ao-piloto-ayrton-senna/ …,true,2019-05-04 12:12,0,0,https://twitter.com/gojammaj/status/1124693162713407494
1965,1.12466131208312e+18,gleisi senna,"Não muda nada! A própria Gleisi Hoffman, não passa de uma grande, mas muito grande fake. Falar mal de Senna , não, mas elogiar Maduro e a ditadura na Venezuela, sim, isso é fato!",fake,2019-05-04 10:05,0,0,https://twitter.com/cacajema1/status/1124661312083120128
1993,1.1244374386996467e+18,gleisi senna,Fala de Gleisi sobre Ayrton Senna que circula nas redes sociais é falsa https:// pt.org.br/fala-de-gleisi -sobre-ayrton-senna-que-circula-nas-redes-sociais-e-falsa/#.XMy9lDo4Az8.twitter …,fake,2019-05-03 19:15,0,0,https://twitter.com/UsielRios/status/1124437438699646976
2000,1.1243637943717642e+18,gleisi senna,A safada @gleisi comparando Senna aí ladrão desgraçado é foda. pic.twitter.com/7bO0zdwSxM,fake,2019-05-03 14:23,0,0,https://twitter.com/biologo_ricardo/status/1124363794371764224
2005,1.1240138987247288e+18,gleisi senna,"Nossa querida @gleisi disse que não vê motivos para homenagear Airton Senna , bora para uma enquete quem merece?",fake,2019-05-02 15:12,0,0,https://twitter.com/Everly78093984/status/1124013898724728832
2008,1.1237965626924563e+18,gleisi senna,"Qdo penso q já ouvi tdas asneiras d Gleisi ,ela se supera.Deu p/falar mal d Senna campeão,deu orgulho ao país,rico porém honesto enqto ídolo preso dela envergonhou país,filhos estão ricos!Veja como bandidos se entendem:Ela diz q Pt se baseia em Jesus e Lula se compara a Jesus",fake,2019-05-02 0:49,0,1,https://twitter.com/MarizaSiribeli/status/1123796562692456449
2386,1.1247531535582944e+18,pele morreu,"Não, o antigo jogador brasileiro de futebol Pelé não morreu . Ou glosando Mark Twain, as fake news"" sobre a morte de Pelé são manifestamente exageradas.... https:// poligrafo.sapo.pt/fact-check/men sagem-viral-no-whatsapp-pele-morreu-hoje-pela-manha-em-2019-aos-79-anos-de-idade …""",true,2019-05-04 16:10,1,1,https://twitter.com/JornalPoligrafo/status/1124753153558294528
2402,1.1243952901847081e+18,pele morreu,Morreu Pelé !,fake,2019-05-03 16:28,0,0,https://twitter.com/HenriqueMHeinz/status/1124395290184708096
2475,1.1240241005471128e+18,pele morreu,Gente vcs viram q o Pelé morreu .... mt triste...,fake,2019-05-02 15:53,0,0,https://twitter.com/viteeeera/status/1124024100547112960
3388,1.1232483107630408e+18,urca nudismo,"PT, PSOL e PCdoB transformaram Praia Vermelha ( Urca ) em praia de nudismo ? Saiba que esta notícia, além de ser FALSA, não faz sentido! Veja por que lendo este artigo de checagem de fatos: https://www. boatos.org/politica/pt-ps ol-pcdob-praia-vermelha-nudismo.html … pic.twitter.com/loSc1jAAbj",true,2019-04-30 12:30,0,0,https://twitter.com/Arq_MauTavaresS/status/1123248310763040771
3389,1.1228103494330532e+18,urca nudismo,"PRAIA VERMELHA, vizinha ao Morro da Urca , virando praia de nudismo ...!!!* A intenção é afrontar os militares, que têm unidades nessa praia, esperando uma represália, para que haja um confronto e então chamar os militares de gorilas truculentos. Tudo orquestrado por PT, Psol PCdoB",fake,2019-04-29 7:30,7,17,https://twitter.com/DrJacobino/status/1122810349433053184
3392,1.117824405315285e+18,urca nudismo,"Praia vermelha, vizinha ao Morro da Urca virando praia de nudismo !! A intenção foi afrontar os militares que têm uma unidade na praia Vermelha, esperando uma represália, para que houvesse… https://www. instagram.com/p/BwSFc19hmOr/ ?utm_source=ig_twitter_share&igshid=1p8fevzvyb0gx …",fake,2019-04-15 13:18,0,0,https://twitter.com/almirrr/status/1117824405315284993
3398,1.1076598969196787e+18,urca nudismo,Vergonhoso!!! Agora a Praia da Urca é praia de. Nudismo ??? Que ridículo!!*,fake,2019-03-18 12:07,0,0,https://twitter.com/SarinhaSaroca/status/1107659896919678981
2,1.1295253770707845e+18,moro estudantes despreparados,"Será que, pra reforçar o discurso polêmico de Bolsonaro, Moro teria dito que manifestações seriam de meia dúzia de estudantes despreparados ""? Não se engane, pois a declaração é FALSA! Entenda por quê: https:// aosfatos.org/noticias/moro- nao-disse-que-manifestacoes-sao-de-meia-duzia-de-estudantes-despreparados/ … #EducaçãoÉCoisaSéria""",true,2019-05-17 20:13,0,0,https://twitter.com/Arq_MauTavaresS/status/1129525377070784518
3,1.1295156888700723e+18,moro estudantes despreparados,NO AR. Moro não disse que manifestações são de ‘meia dúzia de estudantes despreparados ’. https:// aosfatos.org/noticias/moro- nao-disse-que-manifestacoes-sao-de-meia-duzia-de-estudantes-despreparados/ … pic.twitter.com/YGuXjAak3N,true,2019-05-17 19:35,25,76,https://twitter.com/aosfatos/status/1129515688870072321
4,1.1294606476228485e+18,moro estudantes despreparados,Moro não disse que manifestações são de ‘meia dúzia de estudantes despreparados ’. Leia mais em: http:// bit.ly/2HzkiMI via Aos Fatos | Em busca da verdade na política. #fakenão #fakenews #FactCheck #CheckBR #SerMultimidia,true,2019-05-17 15:56,0,0,https://twitter.com/albertogpo/status/1129460647622848512
5,1.1294094412065505e+18,moro estudantes despreparados,"Depois de Bolsonaro, Moro também ataca os estudantes . Diz que são “ despreparados “. Olha quem fala...",fake,2019-05-17 12:32,40,172,https://twitter.com/rfalcao13/status/1129409441206550528
